pair_id,side,sequence,frame_index,condition,repetition,execution_order,model_forward_ms,peak_allocated_bytes,peak_reserved_bytes,batch_size,dtype,diagnostic_logging,record_call_counts,physical_skip
R3-D01,primary,Basketball,431,whole_mrm1_physical_skip,3,5,617.2757000022102,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,432,whole_mrm1_physical_skip,3,5,393.8630999982706,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,433,whole_mrm1_physical_skip,3,5,393.9380000010715,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,434,whole_mrm1_physical_skip,3,5,318.88169999729143,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,435,whole_mrm1_physical_skip,3,5,326.21970000036526,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,397,baseline,3,6,344.67550000408664,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,398,baseline,3,6,332.5868000029004,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,399,baseline,3,6,395.7813000015449,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,400,baseline,3,6,405.8953999992809,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,401,baseline,3,6,358.57680000481196,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,402,baseline,3,6,337.04299999953946,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,403,baseline,3,6,315.44600000052014,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,404,baseline,3,6,318.8049000018509,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,405,baseline,3,6,425.15549999370705,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,406,baseline,3,6,417.9111000048579,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,407,baseline,3,6,426.7995999980485,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,408,baseline,3,6,367.0293999966816,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,409,baseline,3,6,372.6174999974319,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,410,baseline,3,6,371.23560000327416,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,411,baseline,3,6,392.5004999982775,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,412,baseline,3,6,361.70319999655476,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,413,baseline,3,6,331.8121999982395,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,414,baseline,3,6,310.3715000033844,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,415,baseline,3,6,444.32919999962905,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,416,baseline,3,6,418.47080000297865,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,417,baseline,3,6,350.6370999966748,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,418,baseline,3,6,339.5044999997481,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,419,baseline,3,6,362.13560000032885,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,420,baseline,3,6,450.37779999984195,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,421,baseline,3,6,519.5246000002953,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,422,baseline,3,6,378.61050000356045,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,423,baseline,3,6,351.4444000029471,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,424,baseline,3,6,384.0280000003986,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,425,baseline,3,6,335.9213000003365,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,426,baseline,3,6,362.0104999936302,140518912,165675008,1,torch.float32,False,False,False
R3-D01,primary,Basketball,427,baseline,3,6,363.5517000002437,140518912,165675008,1,torch.float32,False,False,False
